,cycle_length_days,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,had_commit_activity,had_pr_activity,had_contributor_activity,has_prior_release_history,has_prior_release,open_bugs_at_release_repo_z,prior_releases_avg_bugs_repo_z,repo_kubernetes/kubernetes,repo_microsoft/vscode
cycle_length_days,1.0,-0.20880490088194176,0.6958152866999492,0.8787251957396182,0.06535196193146574,-0.11496675243715128,-0.1307595193495459,0.8998463490792764,0.840874841511763,0.6871922792630618,-0.38068781159048987,0.4230717416693736,0.47024531445777124,0.4230717416693736,0.08306019628730169,0.02312666741223364,0.04056041281900692,0.01337313551361148,-0.30649607858210404,0.016612206741823527
release_sequence,-0.20880490088194176,1.0,-0.25862592706972837,-0.14444232715475439,-0.19923306477605993,0.20604428175206133,0.14317423863814774,-0.2047832224914162,-0.29840739225822194,-0.3980404558182554,0.19823350490462066,-0.23845775478810963,-0.2163259963980884,-0.23845775478810963,0.22145881545948298,0.12242447542629938,0.15778493118774503,-0.6289276798502536,0.5721955741916835,-0.30162568004549817
commit_count,0.6958152866999492,-0.25862592706972837,1.0,0.7052679052659553,0.17880140143918238,-0.1834233663758189,-0.14685202803496572,0.5733737340937266,0.48676189282484966,0.4425986964374016,-0.32070177368568564,0.38195085120039507,0.42149113709189534,0.38195085120039507,0.040143616055111145,0.07466160000246949,-0.02570559797614412,0.06606171506462206,-0.45686650552511326,0.4854473349177155
pr_count,0.8787251957396182,-0.14444232715475439,0.7052679052659553,1.0,0.14634765411224662,-0.13535219119648825,-0.13050147697746248,0.8633539872625352,0.771734771390386,0.5637391102076772,-0.35771670868373195,0.41048425219656076,0.45424736003306837,0.41048425219656076,0.13009233332248624,0.08032954197292118,0.1279823889994571,-0.06932645944576458,-0.2781829129265549,0.10900300014115023
pct_merged,0.06535196193146574,-0.19923306477605993,0.17880140143918238,0.14634765411224662,1.0,-0.2223369208474643,-0.03778758243005903,-0.009868652676488484,0.019282566790462714,0.09562825475911896,-0.010878195907655213,0.25842606195997425,0.37678770904038944,0.25842606195997425,0.01239390579914135,-0.00941027285770943,0.02424325202013768,-0.19952638111759063,-0.5277688904199441,0.3719476303248879
avg_time_to_merge_hours,-0.11496675243715128,0.20604428175206133,-0.1834233663758189,-0.13535219119648825,-0.2223369208474643,1.0,0.9323163558889324,-0.07714428249638601,-0.08333839075752006,-0.16811513718168974,0.23563733688764757,-0.09708767406757911,-0.10631669383157465,-0.09708767406757911,0.0321733154449079,0.02270895048760617,-0.07998697976319367,0.01732659552585104,0.37504107193031966,-0.26346496863069646
median_time_to_merge_hours,-0.1307595193495459,0.14317423863814774,-0.14685202803496572,-0.13050147697746248,-0.03778758243005903,0.9323163558889324,1.0,-0.12640297713274065,-0.10086696846827314,-0.149813026061785,0.2804380025084832,-0.02977326734126319,0.013486989801102127,-0.02977326734126319,0.025589951852693752,0.015904160010526146,-0.09338746829746192,-0.026231294154659794,0.2332153000735675,-0.16670520492373508
distinct_contributors,0.8998463490792764,-0.2047832224914162,0.5733737340937266,0.8633539872625352,-0.009868652676488484,-0.07714428249638601,-0.12640297713274065,1.0,0.8802119021015311,0.6168667229630085,-0.4216263080332867,0.467447510116051,0.5130089019617874,0.467447510116051,0.11973517049218034,0.0913740050918855,0.0011097645110335983,0.09593630068794656,-0.18700203933657222,-0.03098431250401501
first_time_contributor_count,0.840874841511763,-0.29840739225822194,0.48676189282484966,0.771734771390386,0.019282566790462714,-0.08333839075752006,-0.10086696846827314,0.8802119021015311,1.0,0.7810700708350471,-0.3071877804466957,0.3399882317270173,0.3758121497700562,0.3399882317270173,0.0908236377951658,0.06645898361784643,0.0564661229646382,0.19289344787958065,-0.20135186854849452,-0.15687383813534342
first_time_contributor_share,0.6871922792630618,-0.3980404558182554,0.4425986964374016,0.5637391102076772,0.09562825475911896,-0.16811513718168974,-0.149813026061785,0.6168667229630085,0.7810700708350471,1.0,-0.4766476237845512,0.16262369743574592,0.3310978445980051,0.16262369743574592,0.029713417949626016,-0.008348754941770105,0.04970676268007542,0.1823192772762245,-0.39224733865801076,-0.09621705196488962
top_contributor_share,-0.38068781159048987,0.19823350490462066,-0.32070177368568564,-0.35771670868373195,-0.010878195907655213,0.23563733688764757,0.2804380025084832,-0.4216263080332867,-0.3071877804466957,-0.4766476237845512,1.0,0.173673959060107,-0.2403918062058686,0.173673959060107,0.06504929610918894,0.035056476513345154,-0.03782996984392664,-0.02282143525176116,0.2990882958589574,-0.2285393837947518
had_commit_activity,0.4230717416693736,-0.23845775478810963,0.38195085120039507,0.41048425219656076,0.25842606195997425,-0.09708767406757911,-0.02977326734126319,0.467447510116051,0.3399882317270173,0.16262369743574592,0.173673959060107,1.0,0.7404733597144385,1.0,0.18210940767069572,0.195474364745681,-0.0373928340737359,0.06249153387426332,-0.42533467984229356,0.30537446287705067
