feature,pearson_r,pearson_p,spearman_r,spearman_p,n,significant_at_0.05
prior_releases_avg_bugs_repo_z,0.46316274323356754,4.132398120363589e-19,0.4014580199631416,2.5100340979887152e-14,333,True
release_sequence,-0.44483794989260267,1.3800677591459255e-17,-0.5169755728075076,3.745967988472888e-24,333,True
has_prior_release_history,-0.3129060829039064,5.355936494473419e-09,-0.3129060829039062,5.355936494473387e-09,333,True
has_prior_release,-0.16955824957813176,0.0019026227582167995,-0.16955824957813168,0.001902622758216816,333,True
first_time_contributor_count,0.14326134216827624,0.008845686786432718,0.04448016949462495,0.41849485744798387,333,True
first_time_contributor_share,0.1431505632365348,0.0088988528626262,0.1040324151157303,0.05790405027838071,333,True
had_pr_activity,-0.10065691027350046,0.06656924723651302,-0.10065691027350042,0.06656924723651333,333,False
commit_count,0.09938203609398719,0.07010697429260301,0.01464383021139685,0.7900587923352902,333,False
open_bugs_at_release_repo_z,0.09087639529981237,0.0978170342452224,0.09411128054471495,0.08639665428451383,333,False
median_time_to_merge_hours,-0.06978306850628133,0.20401979035892961,0.018790086052731372,0.7326310758083106,333,False
avg_time_to_merge_hours,-0.06428341423692988,0.24205668821808526,-0.021395967961169195,0.697264190596814,333,False
distinct_contributors,0.05356712874895162,0.3297921895458888,-0.004368561290650981,0.9366990552100493,333,False
pct_merged,-0.05152404900293451,0.3485976333012079,-0.0587116213483985,0.2853943950729994,333,False
had_commit_activity,-0.0468209316988714,0.39440492387281756,-0.046820931698871485,0.3944049238728199,333,False
had_contributor_activity,-0.0468209316988714,0.39440492387281756,-0.046820931698871485,0.3944049238728199,333,False
top_contributor_share,-0.045677886857309134,0.4060625333860302,-0.056643316976878216,0.3027357516589855,333,False
cycle_length_days,0.042778060447954326,0.4365411737018604,-0.01820717416725516,0.7406234490822097,333,False
pr_count,0.032663062181858556,0.5525374080572828,-0.029934315028628665,0.5862226980090849,333,False
repo_kubernetes/kubernetes,-0.01574676325508808,0.7746570103696112,-0.015746763255088062,0.7746570103696111,333,False
repo_microsoft/vscode,0.0008116412559294826,0.9882273436014654,0.0008116412559294564,0.9882273436014669,333,False
