feature,repository_name,pearson_r,pearson_p,n
cycle_length_days,apache/airflow,0.03798484752603281,0.7771087735152653,58
release_sequence,apache/airflow,-0.603301911723312,5.375708763751023e-07,58
commit_count,apache/airflow,-0.05014808084497957,0.7085248999682785,58
pr_count,apache/airflow,-0.052286274806014034,0.6966852551515466,58
pct_merged,apache/airflow,-0.15035844261032583,0.2599169752307652,58
avg_time_to_merge_hours,apache/airflow,-0.15821523170758012,0.2355472006809337,58
median_time_to_merge_hours,apache/airflow,-0.18841443666072766,0.15665644626972525,58
distinct_contributors,apache/airflow,-0.09905124997318017,0.45945014405275186,58
first_time_contributor_count,apache/airflow,0.07506187209280085,0.5754787663859389,58
first_time_contributor_share,apache/airflow,0.3543454739739389,0.006352035319015502,58
top_contributor_share,apache/airflow,-0.1542854739193815,0.24753208466696816,58
had_commit_activity,apache/airflow,-0.1041763561384952,0.4364313676522296,58
had_pr_activity,apache/airflow,-0.22425966570210248,0.09057693781510955,58
had_contributor_activity,apache/airflow,-0.1041763561384952,0.4364313676522296,58
has_prior_release_history,apache/airflow,-0.22425966570210248,0.09057693781510955,58
has_prior_release,apache/airflow,-0.22425966570210248,0.09057693781510955,58
open_bugs_at_release_repo_z,apache/airflow,0.6303524069973048,1.1416914611225178e-07,58
prior_releases_avg_bugs_repo_z,apache/airflow,0.4944389219696686,7.982098784309085e-05,58
cycle_length_days,kubernetes/kubernetes,0.024247997285404558,0.7557661453691433,167
release_sequence,kubernetes/kubernetes,-0.6367404855966667,2.2702888535228434e-20,167
commit_count,kubernetes/kubernetes,0.09012883295584732,0.24672851009851032,167
pr_count,kubernetes/kubernetes,0.10767000913557889,0.1660579573345786,167
pct_merged,kubernetes/kubernetes,-0.05570864538343434,0.4745703124022033,167
avg_time_to_merge_hours,kubernetes/kubernetes,-0.08535369919316867,0.2727590195545265,167
median_time_to_merge_hours,kubernetes/kubernetes,-0.0979799223536057,0.20777660716891447,167
distinct_contributors,kubernetes/kubernetes,0.10142222868365934,0.19217038263690686,167
first_time_contributor_count,kubernetes/kubernetes,0.21090403392964446,0.006221885354015349,167
first_time_contributor_share,kubernetes/kubernetes,0.14208759687699601,0.06699767182887843,167
top_contributor_share,kubernetes/kubernetes,-0.05217666825257032,0.5030725833737492,167
had_commit_activity,kubernetes/kubernetes,-0.058645309327300346,0.451557850097408,167
had_pr_activity,kubernetes/kubernetes,-0.14820148413405035,0.05595718762798112,167
had_contributor_activity,kubernetes/kubernetes,-0.058645309327300346,0.451557850097408,167
has_prior_release_history,kubernetes/kubernetes,-0.28379770216804023,0.00020188922805996248,167
has_prior_release,kubernetes/kubernetes,-0.14061078644744548,0.06991527296659346,167
open_bugs_at_release_repo_z,kubernetes/kubernetes,0.24195347285349628,0.001631677099436913,167
prior_releases_avg_bugs_repo_z,kubernetes/kubernetes,0.5955013598378456,2.1024255292798068e-17,167
cycle_length_days,microsoft/vscode,0.06668986577631478,0.4928639389596764,108
release_sequence,microsoft/vscode,-0.4376555442268399,2.1745745528000615e-06,108
commit_count,microsoft/vscode,0.17796323006512207,0.06537781000123039,108
pr_count,microsoft/vscode,-0.05950589389427938,0.5407031749044191,108
pct_merged,microsoft/vscode,-0.10760238291933648,0.26766900813215966,108
avg_time_to_merge_hours,microsoft/vscode,-0.01728850933542908,0.8590449170611739,108
median_time_to_merge_hours,microsoft/vscode,0.2439509357120089,0.010950483644142322,108
distinct_contributors,microsoft/vscode,-0.023620344432095035,0.8082786060930454,108
first_time_contributor_count,microsoft/vscode,0.0956768428540965,0.32462656242310367,108
first_time_contributor_share,microsoft/vscode,0.1027200619695891,0.2901111341509259,108
top_contributor_share,microsoft/vscode,-0.02295943413474396,0.813544323292498,108
had_commit_activity,microsoft/vscode,-0.08329645070973293,0.3914116841005714,108
had_pr_activity,microsoft/vscode,-0.08329645070973293,0.3914116841005714,108
had_contributor_activity,microsoft/vscode,-0.08329645070973293,0.3914116841005714,108
has_prior_release_history,microsoft/vscode,-0.3912790920258955,2.824415242064349e-05,108
has_prior_release,microsoft/vscode,-0.17168342290243635,0.07562721834019522,108
open_bugs_at_release_repo_z,microsoft/vscode,-0.43611880604243203,2.382178590983268e-06,108
prior_releases_avg_bugs_repo_z,microsoft/vscode,0.24366196414932326,0.011048316551268172,108
