feature,mean_abs_shap_value
release_sequence,0.15503511422998265
prior_releases_avg_bugs_repo_z,0.09330787197540429
open_bugs_at_release_repo_z,0.06633998289996024
had_pr_activity,0.014712271972680421
first_time_contributor_count,0.013023398400099098
commit_count,0.012988635718672162
first_time_contributor_share,0.01156594110288827
has_prior_release_history,0.008894752460668733
had_commit_activity,0.006049907123040186
pct_merged,0.005558609138130658
distinct_contributors,0.004617869685795941
pr_count,0.004328035865723665
avg_time_to_merge_hours,0.00429293805361766
cycle_length_days,0.002815061530459451
top_contributor_share,0.0024065914105022
has_prior_release,0.0022985400050636374
median_time_to_merge_hours,0.0022511918939534118
repo_microsoft/vscode,0.00027133533003223753
repo_kubernetes/kubernetes,0.00017473540491219695
