feature_1,feature_2,correlation
had_commit_activity,had_contributor_activity,1.0
avg_time_to_merge_hours,median_time_to_merge_hours,0.9323163558889324
cycle_length_days,distinct_contributors,0.8998463490792764
distinct_contributors,first_time_contributor_count,0.8802119021015311
cycle_length_days,pr_count,0.8787251957396182
pr_count,distinct_contributors,0.8633539872625352
cycle_length_days,first_time_contributor_count,0.840874841511763
first_time_contributor_count,first_time_contributor_share,0.7810700708350471
pr_count,first_time_contributor_count,0.771734771390386
had_commit_activity,had_pr_activity,0.7404733597144385
had_pr_activity,had_contributor_activity,0.7404733597144385
commit_count,pr_count,0.7052679052659553
