cv_scheme,fold,n_test,positive_rate,roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1
5-fold,1,111,0.3063063063063063,0.868601986249045,0.7154709637955515,0.20503290132202906,0.7927927927927928,0.627906976744186,0.7941176470588235,0.7012987012987013
5-fold,2,111,0.3063063063063063,0.8326967150496563,0.705929639750349,0.21341215628050852,0.7207207207207207,0.5294117647058824,0.7941176470588235,0.6352941176470588
5-fold,3,111,0.3063063063063063,0.880061115355233,0.8434867902067859,0.20428365911908528,0.7477477477477478,0.56,0.8235294117647058,0.6666666666666666
5-fold,4,111,0.3063063063063063,0.8842627960275019,0.7509716289042491,0.20572226785635095,0.7747747747747747,0.5882352941176471,0.8823529411764706,0.7058823529411765
5-fold,5,111,0.2972972972972973,0.8376068376068376,0.7441269925576739,0.20943264123662214,0.6396396396396397,0.4461538461538462,0.8787878787878788,0.5918367346938775
10-fold,1,56,0.30357142857142855,0.832579185520362,0.6458484525031732,0.20643711908095597,0.8035714285714286,0.6666666666666666,0.7058823529411765,0.6857142857142857
10-fold,2,56,0.30357142857142855,0.9125188536953243,0.8296157089985863,0.1967883683598352,0.7857142857142857,0.6,0.8823529411764706,0.7142857142857143
10-fold,3,56,0.30357142857142855,0.9064856711915535,0.8076284697414728,0.2015433293019562,0.8035714285714286,0.625,0.8823529411764706,0.7317073170731707
10-fold,4,56,0.30357142857142855,0.7647058823529411,0.6577018683963459,0.22048650307747444,0.625,0.42857142857142855,0.7058823529411765,0.5333333333333333
10-fold,5,56,0.30357142857142855,0.8627450980392157,0.8042069740652962,0.20027438532858471,0.7857142857142857,0.6190476190476191,0.7647058823529411,0.6842105263157895
10-fold,6,55,0.3090909090909091,0.913312693498452,0.9026583467759939,0.20348983094421952,0.7272727272727273,0.5357142857142857,0.8823529411764706,0.6666666666666666
10-fold,7,55,0.3090909090909091,0.9411764705882354,0.9260627780523976,0.19651216238745042,0.8181818181818182,0.6521739130434783,0.8823529411764706,0.75
10-fold,8,55,0.3090909090909091,0.8219814241486069,0.6308717274517548,0.20709097952994582,0.7090909090909091,0.5185185185185185,0.8235294117647058,0.6363636363636364
10-fold,9,55,0.3090909090909091,0.8591331269349846,0.7895005670806157,0.19976109811852663,0.6545454545454545,0.46875,0.8823529411764706,0.6122448979591837
10-fold,10,55,0.2909090909090909,0.8317307692307693,0.7176863934676434,0.21460400062495893,0.6363636363636364,0.4375,0.875,0.5833333333333334
