feature,r_squared_vs_other_features,VIF
cycle_length_days,0.9090063903415433,10.989782730386086
distinct_contributors,0.8864631714630132,8.807714755518568
pr_count,0.8748257182451887,7.9888614975940415
commit_count,0.8655883773648315,7.43983280905912
repo_kubernetes/kubernetes,0.8621960354724454,7.256685273376477
repo_microsoft/vscode,0.8331936559196258,5.994975823690247
release_sequence,0.776145468930269,4.467186771790198
first_time_contributor_share,0.7457921414709292,3.933788694756821
prior_releases_avg_bugs,0.6953115176069455,3.282040699884347
commit_count_x_first_time_contrib,0.5664586645595067,2.3065851356110363
top_contributor_share,0.49223472662739476,1.969413924977469
pct_merged,0.3757616687033847,1.6019522510302822
open_bugs_at_release,0.23095969190236676,1.3003219590318864
median_time_to_merge_hours,0.11945570522553572,1.135661210837931
