release_id,repository_name,predicted_probability,risk_tier,top_driver_1,top_driver_2,top_driver_3,recommendation_1,recommendation_2,recommendation_3
239793305,kubernetes/kubernetes,0.3869134062644532,High,first_time_contributor_count (contribution=0.013): This release involved an unusually high number of first-time contributors.,distinct_contributors (contribution=0.010): The number of distinct people committing before this release is unusually high or low.,commit_count (contribution=0.008): The volume of commits before this release is unusually high or low.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.",A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.,"A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume."
239793520,kubernetes/kubernetes,0.3801711396802846,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
239794276,kubernetes/kubernetes,0.37989589995710155,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
242938306,kubernetes/kubernetes,0.3756782165807964,High,pct_merged (contribution=0.008): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"first_time_contributor_share (contribution=0.006): Same signal as first_time_contributor_count, expressed as a share of all contributors.",distinct_contributors (contribution=0.002): The number of distinct people committing before this release is unusually high or low.,A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,See first_time_contributor_count recommendation.,A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
246021679,kubernetes/kubernetes,0.37953734137063033,High,"first_time_contributor_share (contribution=0.011): Same signal as first_time_contributor_count, expressed as a share of all contributors.",pct_merged (contribution=0.009): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,first_time_contributor_count (contribution=0.007): This release involved an unusually high number of first-time contributors.,See first_time_contributor_count recommendation.,A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk."
246030338,kubernetes/kubernetes,0.3778976899954174,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
246044335,kubernetes/kubernetes,0.36541234193334965,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.
246050093,kubernetes/kubernetes,0.3651375689826234,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"repo_microsoft/vscode (contribution=0.000): Repository identity itself (microsoft/vscode vs. the baseline, apache/airflow) contributes to this prediction.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.,Interpret cautiously -- see repo_kubernetes/kubernetes recommendation; the same caveat about repository-specific reversals applies.
261684284,kubernetes/kubernetes,0.40801211246195884,High,first_time_contributor_count (contribution=0.046): This release involved an unusually high number of first-time contributors.,commit_count (contribution=0.044): The volume of commits before this release is unusually high or low.,distinct_contributors (contribution=0.020): The number of distinct people committing before this release is unusually high or low.,"Consider additional review scrutiny specifically on first-time contributors' changes, given this project's confirmed (though not fully independent of other factors) association between contributor turnover and elevated risk.","A very high commit count (a large release) may warrant proportionally more testing time; a very low count paired with elevated risk may indicate the release was small but touched a disproportionately risky area of the codebase -- review change scope, not just change volume.",A low distinct-contributor count concentrates release risk on fewer people's work; consider an additional independent review pass.
261690420,kubernetes/kubernetes,0.37503523404860334,High,had_pr_activity (contribution=0.034): Whether any human PR activity was observed in this release's cycle at all.,had_commit_activity (contribution=0.016): Whether any human commit activity was observed in this release's cycle at all.,pct_merged (contribution=0.006): The share of this cycle's PRs that were merged (vs. closed unmerged) is unusually high or low.,"N/A -- structural flag, not independently actionable.","N/A -- structural flag, not independently actionable.",A low merge rate paired with elevated risk may indicate churn or disagreement during review; investigate closed-unmerged PRs for recurring concerns.
