config,split,n,positive_rate,roc_auc,pr_auc,accuracy
full_feature_set,train,333,0.24024024024024024,0.832905138339921,0.6578995526450128,0.7327327327327328
full_feature_set,validation,111,0.1891891891891892,0.8264550264550266,0.4835923238959297,0.8018018018018018
full_feature_set,test,111,0.6126126126126126,0.9121067031463748,0.8665007352510279,0.40540540540540543
without_repo_dummies,train,333,0.24024024024024024,0.8850790513833992,0.7769085769268373,0.7867867867867868
without_repo_dummies,validation,111,0.1891891891891892,0.8460317460317461,0.6048881744076027,0.8558558558558559
without_repo_dummies,test,111,0.6126126126126126,0.920998632010944,0.8819595315295179,0.5045045045045045
without_release_sequence_features,train,333,0.24024024024024024,0.8573616600790515,0.7071256907664986,0.8198198198198198
without_release_sequence_features,validation,111,0.1891891891891892,0.6571428571428571,0.4369308995511204,0.8198198198198198
without_release_sequence_features,test,111,0.6126126126126126,0.7852257181942545,0.8418428080240297,0.5765765765765766
without_repo_and_sequence,train,333,0.24024024024024024,0.8070652173913044,0.6463030740237257,0.7447447447447447
without_repo_and_sequence,validation,111,0.1891891891891892,0.6068783068783069,0.46708762994924274,0.8288288288288288
without_repo_and_sequence,test,111,0.6126126126126126,0.3478112175102599,0.6093079475143399,0.4954954954954955
