repository_name,contributor identifier,first contribution date,number of contributions,release-cycle participation,author,is_bot,first_contribution_at,number_of_contributions,release_cycle_participation
apache/airflow,potiuk,,4973,,potiuk,False,,4973,
apache/airflow,kaxil,,2070,,kaxil,False,,2070,
apache/airflow,mistercrunch,,1702,,mistercrunch,False,,1702,
apache/airflow,ashb,,948,,ashb,False,,948,
apache/airflow,amoghrajesh,,921,,amoghrajesh,False,,921,
apache/airflow,mik-laj,,821,,mik-laj,False,,821,
apache/airflow,jedcunningham,,802,,jedcunningham,False,,802,
apache/airflow,jscheffl,,750,,jscheffl,False,,750,
apache/airflow,eladkal,,686,,eladkal,False,,686,
apache/airflow,dstandish,,674,,dstandish,False,,674,
apache/airflow,ephraimbuddy,,673,,ephraimbuddy,False,,673,
apache/airflow,uranusjr,,673,,uranusjr,False,,673,
apache/airflow,bbovenzi,,606,,bbovenzi,False,,606,
apache/airflow,pierrejeambrun,,587,,pierrejeambrun,False,,587,
apache/airflow,vincbeck,,582,,vincbeck,False,,582,
apache/airflow,bolkedebruin,,538,,bolkedebruin,False,,538,
apache/airflow,Taragolis,,535,,Taragolis,False,,535,
apache/airflow,Lee-W,,527,,Lee-W,False,,527,
apache/airflow,dependabot[bot],,490,,dependabot[bot],True,,490,
apache/airflow,gopidesupavan,,426,,gopidesupavan,False,,426,
apache/airflow,hussein-awala,,365,,hussein-awala,False,,365,
apache/airflow,turbaszek,,326,,turbaszek,False,,326,
apache/airflow,jlowin,,315,,jlowin,False,,315,
apache/airflow,ferruzzi,,246,,ferruzzi,False,,246,
apache/airflow,o-nikolas,,245,,o-nikolas,False,,245,
apache/airflow,bugraoz93,,232,,bugraoz93,False,,232,
apache/airflow,shahar1,,229,,shahar1,False,,229,
apache/airflow,kacpermuda,,224,,kacpermuda,False,,224,
apache/airflow,jason810496,,221,,jason810496,False,,221,
apache/airflow,r39132,,216,,r39132,False,,216,
apache/airflow,josh-fell,,193,,josh-fell,False,,193,
apache/airflow,XD-DENG,,187,,XD-DENG,False,,187,
apache/airflow,guan404ming,,186,,guan404ming,False,,186,
apache/airflow,vatsrahul1001,,180,,vatsrahul1001,False,,180,
apache/airflow,tirkarthi,,167,,tirkarthi,False,,167,
apache/airflow,criccomini,,160,,criccomini,False,,160,
apache/airflow,rawwar,,158,,rawwar,False,,158,
apache/airflow,choo121600,,142,,choo121600,False,,142,
apache/airflow,dabla,,141,,dabla,False,,141,
apache/airflow,artwr,,136,,artwr,False,,136,
apache/airflow,sunank200,,134,,sunank200,False,,134,
apache/airflow,dirrao,,129,,dirrao,False,,129,
apache/airflow,Fokko,,126,,Fokko,False,,126,
apache/airflow,eumiro,,121,,eumiro,False,,121,
apache/airflow,dheerajturaga,,119,,dheerajturaga,False,,119,
apache/airflow,henry3260,,118,,henry3260,False,,118,
apache/airflow,VladaZakharova,,117,,VladaZakharova,False,,117,
apache/airflow,dimberman,,115,,dimberman,False,,115,
apache/airflow,MaksYermak,,107,,MaksYermak,False,,107,
apache/airflow,pankajastro,,99,,pankajastro,False,,99,
apache/airflow,utkarsharma2,,97,,utkarsharma2,False,,97,
apache/airflow,BasPH,,97,,BasPH,False,,97,
apache/airflow,Dev-iL,,97,,Dev-iL,False,,97,
apache/airflow,vandonr-amz,,95,,vandonr-amz,False,,95,
apache/airflow,Miretpl,,95,,Miretpl,False,,95,
apache/airflow,feluelle,,95,,feluelle,False,,95,
apache/airflow,jbampton,,94,,jbampton,False,,94,
apache/airflow,shubhamraj-git,,94,,shubhamraj-git,False,,94,
apache/airflow,romsharon98,,92,,romsharon98,False,,92,
apache/airflow,sekikn,,92,,sekikn,False,,92,
apache/airflow,ryanahamilton,,91,,ryanahamilton,False,,91,
apache/airflow,raphaelauv,,91,,raphaelauv,False,,91,
apache/airflow,mobuchowski,,89,,mobuchowski,False,,89,
apache/airflow,moiseenkov,,89,,moiseenkov,False,,89,
apache/airflow,msumit,,86,,msumit,False,,86,
apache/airflow,jhtimmins,,85,,jhtimmins,False,,85,
apache/airflow,feng-tao,,81,,feng-tao,False,,81,
apache/airflow,pankajkoti,,78,,pankajkoti,False,,78,
apache/airflow,phanikumv,,75,,phanikumv,False,,75,
apache/airflow,jmcarp,,73,,jmcarp,False,,73,
apache/airflow,Bowrna,,73,,Bowrna,False,,73,
apache/airflow,SameerMesiah97,,70,,SameerMesiah97,False,,70,
apache/airflow,aoen,,67,,aoen,False,,67,
apache/airflow,syedahsn,,67,,syedahsn,False,,67,
apache/airflow,nailo2c,,64,,nailo2c,False,,64,
apache/airflow,aritra24,,63,,aritra24,False,,63,
apache/airflow,subkanthi,,62,,subkanthi,False,,62,
apache/airflow,zhongjiajie,,59,,zhongjiajie,False,,59,
apache/airflow,RoyLee1224,,59,,RoyLee1224,False,,59,
apache/airflow,Aakcht,,58,,Aakcht,False,,58,
apache/airflow,chenglongyan,,55,,chenglongyan,False,,55,
apache/airflow,SamWheating,,54,,SamWheating,False,,54,
apache/airflow,jroachgolf84,,53,,jroachgolf84,False,,53,
apache/airflow,pingzh,,53,,pingzh,False,,53,
apache/airflow,AutomationDev85,,52,,AutomationDev85,False,,52,
apache/airflow,rich7420,,52,,rich7420,False,,52,
apache/airflow,wjddn279,,52,,wjddn279,False,,52,
apache/airflow,bdsoha,,50,,bdsoha,False,,50,
apache/airflow,yuseok89,,50,,yuseok89,False,,50,
apache/airflow,olegkachur-e,,49,,olegkachur-e,False,,49,
apache/airflow,ramitkataria,,48,,ramitkataria,False,,48,
apache/airflow,michalslowikowski00,,48,,michalslowikowski00,False,,48,
apache/airflow,xchwan,,47,,xchwan,False,,47,
apache/airflow,john-jac,,46,,john-jac,False,,46,
apache/airflow,saguziel,,46,,saguziel,False,,46,
apache/airflow,kazanzhy,,46,,kazanzhy,False,,46,
apache/airflow,chethanuk,,45,,chethanuk,False,,45,
apache/airflow,milton0825,,44,,milton0825,False,,44,
apache/airflow,Crowiant,,44,,Crowiant,False,,44,
apache/airflow,malthe,,43,,malthe,False,,43,
apache/airflow,RNHTTR,,43,,RNHTTR,False,,43,
apache/airflow,bkossakowska,,42,,bkossakowska,False,,42,
apache/airflow,khalidmammadov,,42,,khalidmammadov,False,,42,
apache/airflow,justinpakzad,,42,,justinpakzad,False,,42,
apache/airflow,Prab-27,,41,,Prab-27,False,,41,
apache/airflow,sjyangkevin,,41,,sjyangkevin,False,,41,
apache/airflow,KoviAnusha,,40,,KoviAnusha,False,,40,
apache/airflow,kevinhongzl,,39,,kevinhongzl,False,,39,
apache/airflow,JDarDagran,,38,,JDarDagran,False,,38,
apache/airflow,Owen-CH-Leung,,38,,Owen-CH-Leung,False,,38,
apache/airflow,ryw,,37,,ryw,False,,37,
apache/airflow,vikramkoka,,35,,vikramkoka,False,,35,
apache/airflow,vchiapaikeo,,34,,vchiapaikeo,False,,34,
apache/airflow,haseebmalik18,,34,,haseebmalik18,False,,34,
apache/airflow,skudriashev,,33,,skudriashev,False,,33,
apache/airflow,Adaverse,,33,,Adaverse,False,,33,
apache/airflow,parkhojeong,,32,,parkhojeong,False,,32,
apache/airflow,yuqian90,,31,,yuqian90,False,,31,
apache/airflow,kyungjunleeme,,30,,kyungjunleeme,False,,30,
apache/airflow,ryanyuan,,30,,ryanyuan,False,,30,
apache/airflow,steveahnahn,,30,,steveahnahn,False,,30,
apache/airflow,anishgirianish,,29,,anishgirianish,False,,29,
apache/airflow,alexott,,29,,alexott,False,,29,
apache/airflow,dondaum,,29,,dondaum,False,,29,
apache/airflow,xinbinhuang,,29,,xinbinhuang,False,,29,
apache/airflow,Subham-KRLX,,29,,Subham-KRLX,False,,29,
apache/airflow,github-actions[bot],,28,,github-actions[bot],True,,28,
apache/airflow,PApostol,,28,,PApostol,False,,28,
apache/airflow,dominikhei,,28,,dominikhei,False,,28,
apache/airflow,KevinYang21,,27,,KevinYang21,False,,27,
apache/airflow,seanghaeli,,27,,seanghaeli,False,,27,
apache/airflow,bhavaniravi,,26,,bhavaniravi,False,,26,
apache/airflow,nathadfield,,25,,nathadfield,False,,25,
apache/airflow,neovintage,,25,,neovintage,False,,25,
apache/airflow,mhenc,,25,,mhenc,False,,25,
apache/airflow,tooptoop4,,25,,tooptoop4,False,,25,
apache/airflow,jx2lee,,25,,jx2lee,False,,25,
apache/airflow,ellisms,,24,,ellisms,False,,24,
apache/airflow,insomnes,,24,,insomnes,False,,24,
apache/airflow,abridgett,,23,,abridgett,False,,23,
apache/airflow,andreahlert,,23,,andreahlert,False,,23,
apache/airflow,bhirsz,,23,,bhirsz,False,,23,
apache/airflow,xBis7,,23,,xBis7,False,,23,
apache/airflow,cmarteepants,,23,,cmarteepants,False,,23,
apache/airflow,norm,,23,,norm,False,,23,
apache/airflow,Jasperora,,23,,Jasperora,False,,23,
apache/airflow,ecodina,,22,,ecodina,False,,22,
apache/airflow,FrankYang0529,,22,,FrankYang0529,False,,22,
apache/airflow,josix,,22,,josix,False,,22,
apache/airflow,0lai0,,22,,0lai0,False,,22,
apache/airflow,baolsen,,22,,baolsen,False,,22,
apache/airflow,pateash,,22,,pateash,False,,22,
apache/airflow,boraberke,,21,,boraberke,False,,21,
apache/airflow,NielsZeilemaker,,21,,NielsZeilemaker,False,,21,
apache/airflow,shivaam,,21,,shivaam,False,,21,
apache/airflow,snjypl,,20,,snjypl,False,,20,
apache/airflow,shohamy7,,20,,shohamy7,False,,20,
apache/airflow,ecerulm,,20,,ecerulm,False,,20,
apache/airflow,pgagnon,,20,,pgagnon,False,,20,
apache/airflow,molcay,,20,,molcay,False,,20,
apache/airflow,junnplus,,20,,junnplus,False,,20,
apache/airflow,Jorricks,,20,,Jorricks,False,,20,
