release_id,open_issues_at_release,open_bugs_at_release
37768119,768,367
39957389,823,401
41671752,802,375
43255616,809,384
45275500,815,381
45643358,820,379
46212130,840,381
46932862,845,380
49398510,874,409
49802204,851,389
50419478,818,372
51158476,789,350
52360236,813,365
53009948,807,358
53412307,808,360
55767051,819,355
56763257,785,338
60167989,773,332
61637122,764,321
63503389,796,311
65746369,789,314
67434562,811,330
67783335,811,328
68636824,761,307
71627647,693,287
75104415,710,305
77524030,697,294
78733774,703,295
79935067,705,295
80782477,713,306
82994496,712,304
84841010,724,310
89772516,716,290
91499799,733,288
95635225,719,283
97724092,720,270
99597447,702,261
101405180,669,244
103174412,680,255
108963862,694,267
110074462,697,274
111717340,705,255
117791975,716,253
120326303,697,248
123409179,722,261
124796751,741,273
128072365,765,276
134371717,759,275
137711221,756,280
141561153,740,262
143584450,746,264
144901174,751,269
145826375,752,276
148320674,744,264
148331227,744,264
150204794,743,257
154380741,780,269
159644151,800,290
161181480,808,296
165625182,833,299
166897846,845,309
170458696,837,333
173821517,879,355
176198865,951,370
183601125,1017,349
190940307,1061,350
199381500,1103,339
209736341,1126,379
213942444,1119,400
217952121,1103,422
219713172,1119,431
224349965,1150,445
227200324,1168,454
232060796,1295,500
232316442,1291,500
238719377,1302,499
241324139,1297,494
243522727,1308,506
250088226,1337,531
257461859,1343,541
259964514,1368,559
262457040,1373,558
269035834,1371,554
276315192,1392,559
276530798,1391,554
282931220,1368,534
287396789,1367,528
290595792,1362,532
295900925,1304,498
298892967,1293,492
299977257,1301,495
306141963,1225,471
312131648,1227,484
313416734,1244,485
331316417,1222,454
333981785,1214,439
334088828,1179,431
349639355,1150,421
