release_id,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share
36351486,0,0,,
36351831,0,0,,
36352135,0,0,,
38191304,188,114,0.6063829787234043,0.03265940902021773
38191357,0,0,,
38191467,0,0,,
38251599,22,7,0.3181818181818182,0.10344827586206896
40026670,210,92,0.4380952380952381,0.054987212276214836
40026943,0,0,,
40027219,0,0,,
41140171,109,31,0.28440366972477066,0.055299539170506916
41456484,62,13,0.20967741935483872,0.09523809523809523
41456496,0,0,,
41457093,0,0,,
42867664,180,62,0.34444444444444444,0.033854166666666664
42868108,0,0,,
42868402,0,0,,
42868425,0,0,,
44743553,173,52,0.30057803468208094,0.04518664047151277
44821176,18,5,0.2777777777777778,0.1
44821813,0,0,,
44822353,1,0,0.0,1.0
46289135,165,48,0.2909090909090909,0.11044176706827309
46289180,1,0,0.0,1.0
46289230,1,0,0.0,1.0
47318163,100,24,0.24,0.0893854748603352
47708237,55,6,0.10909090909090909,0.1326530612244898
47708400,1,0,0.0,1.0
47708498,1,0,0.0,1.0
48132309,43,4,0.09302325581395349,0.10975609756097561
49630995,127,33,0.25984251968503935,0.10416666666666667
49632055,2,0,0.0,0.5
49636436,3,0,0.0,0.6
49638691,1,0,0.0,1.0
52193134,162,42,0.25925925925925924,0.05108055009823183
52193186,1,0,0.0,1.0
52193237,1,0,0.0,1.0
52193302,1,0,0.0,1.0
53592811,146,39,0.2671232876712329,0.07179487179487179
53593301,2,0,0.0,0.6666666666666666
53593506,1,0,0.0,1.0
54824547,66,10,0.15151515151515152,0.08176100628930817
55392164,57,8,0.14035087719298245,0.05154639175257732
55393544,0,0,,
55465785,10,1,0.1,0.16666666666666666
55467689,1,0,0.0,1.0
57503634,120,38,0.31666666666666665,0.053003533568904596
57503779,0,0,,
57504045,0,0,,
57516071,1,0,0.0,1.0
57972287,47,9,0.19148936170212766,0.10606060606060606
59818995,105,21,0.2,0.06302521008403361
59820624,0,0,,
59821299,0,0,,
62049233,120,26,0.21666666666666667,0.04854368932038835
62049706,0,0,,
62050650,0,0,,
64863991,151,36,0.23841059602649006,0.06722689075630252
64869495,1,0,0.0,1.0
64881287,1,0,0.0,1.0
65962790,53,9,0.16981132075471697,0.08888888888888889
67749918,97,18,0.18556701030927836,0.16319444444444445
67833798,6,0,0.0,0.25
67872434,0,0,,
67885314,1,0,0.0,1.0
69652729,93,23,0.24731182795698925,0.11061946902654868
69661314,0,0,,
69680319,1,0,0.0,1.0
69680447,0,0,,
71926822,99,25,0.25252525252525254,0.05371900826446281
71933950,1,0,0.0,1.0
71937344,0,0,,
74666225,149,32,0.21476510067114093,0.03389830508474576
74669757,0,0,,
74671731,0,0,,
75156399,26,5,0.19230769230769232,0.14893617021276595
77194312,101,22,0.21782178217821782,0.14925373134328357
77213823,2,0,0.0,0.6666666666666666
77303540,9,3,0.3333333333333333,0.1111111111111111
77303985,0,0,,
77795569,43,6,0.13953488372093023,0.0963855421686747
77802321,0,0,,
77807233,2,1,0.5,0.6666666666666666
77813556,3,0,0.0,0.3333333333333333
79809601,100,24,0.24,0.09505703422053231
79809812,0,0,,
79809886,0,0,,
82710116,144,34,0.2361111111111111,0.06091370558375635
82714136,1,0,0.0,1.0
82714305,1,0,0.0,1.0
82714385,0,0,,
85466097,100,16,0.16,0.0411522633744856
85470423,0,0,,
85475750,0,0,,
85487731,1,0,0.0,1.0
85515657,2,1,0.5,0.5
89461411,147,44,0.29931972789115646,0.09689213893967093
89465459,0,0,,
89478326,1,0,0.0,1.0
89577865,8,1,0.125,0.35714285714285715
93991288,160,40,0.25,0.11371237458193979
94000681,0,0,,
94006526,3,0,0.0,0.5
94012442,0,0,,
96018281,126,16,0.12698412698412698,0.059574468085106386
96021741,2,0,0.0,0.5
96029525,0,0,,
98968195,89,11,0.12359550561797752,0.06637168141592921
99183057,22,3,0.13636363636363635,0.11538461538461539
99187893,1,0,0.0,1.0
99192787,0,0,,
99571135,21,3,0.14285714285714285,0.14634146341463414
103386457,138,31,0.2246376811594203,0.06796116504854369
103386495,0,0,,
103393064,2,0,0.0,0.75
103395497,1,0,0.0,1.0
108620995,103,18,0.17475728155339806,0.06143344709897611
108627351,1,0,0.0,1.0
108637771,1,0,0.0,1.0
108644552,0,0,,
112862724,145,23,0.15862068965517243,0.07561436672967864
112870721,0,0,,
112875833,0,0,,
112879656,1,0,0.0,1.0
117338250,92,21,0.22826086956521738,0.055
118493643,45,9,0.2,0.07692307692307693
118493759,0,0,,
118498412,1,0,0.0,1.0
118524649,0,0,,
118562913,6,0,0.0,0.16666666666666666
121009496,109,25,0.22935779816513763,0.07220216606498195
121011208,0,0,,
121027792,1,0,0.0,1.0
121033600,0,0,,
125627999,123,20,0.16260162601626016,0.059278350515463915
125636180,0,0,,
125643604,1,0,0.0,1.0
125649052,0,0,,
129613920,102,13,0.12745098039215685,0.06149732620320856
129616500,1,0,0.0,1.0
129622209,2,0,0.0,0.6666666666666666
129714744,4,0,0.0,0.25
133777858,70,15,0.21428571428571427,0.14705882352941177
134607215,30,2,0.06666666666666667,0.12280701754385964
134624427,0,0,,
134624945,0,0,,
137446153,75,13,0.17333333333333334,0.3344947735191638
137446434,0,0,,
137446444,0,0,,
137446709,0,0,,
142006393,97,18,0.18556701030927836,0.06690140845070422
142007294,0,0,,
142009935,0,0,,
142028094,2,0,0.0,0.5
146625039,112,23,0.20535714285714285,0.06813186813186813
146834793,8,0,0.0,0.2727272727272727
146839948,0,0,,
146845361,1,0,0.0,1.0
151435050,81,23,0.2839506172839506,0.09714285714285714
151445084,0,0,,
151451712,0,0,,
151633234,6,2,0.3333333333333333,0.25
155777868,86,15,0.1744186046511628,0.08794788273615635
155813961,1,0,0.0,1.0
155816403,0,0,,
155824760,1,0,0.0,1.0
