release_id,open_issues_at_release,open_bugs_at_release
36351013,2072,818
36351486,2073,819
36351831,2073,819
36352135,2073,819
38191304,2051,808
38191357,2051,808
38191467,2051,808
38251599,2051,808
40026670,2043,816
40026943,2043,816
40027219,2043,816
41140171,2024,824
41456484,1993,804
41456496,1993,804
41457093,1993,804
42867664,1992,817
42868108,1991,816
42868402,1991,816
42868425,1991,816
44743553,2012,842
44821176,2006,842
44821813,2006,842
44822353,2007,843
46289135,1845,782
46289180,1845,782
46289230,1845,782
47318163,1858,790
47708237,1849,793
47708400,1849,793
47708498,1849,793
48132309,1842,795
49630995,1846,800
49632055,1847,801
49636436,1847,801
49638691,1848,801
52193134,1843,801
52193186,1843,801
52193237,1843,801
52193302,1843,801
53592811,1812,776
53593301,1812,776
53593506,1811,776
54824547,1794,769
55392164,1794,775
55393544,1794,775
55465785,1795,775
55467689,1795,775
57503634,1805,779
57503779,1805,779
57504045,1805,779
57516071,1804,778
57972287,1795,771
59818995,1758,740
59820624,1758,740
59821299,1758,740
62049233,1745,733
62049706,1745,733
62050650,1745,733
64863991,1762,735
64869495,1762,734
64881287,1759,731
65962790,1759,732
67749918,1787,750
67833798,1787,752
67872434,1787,752
67885314,1786,751
69652729,1759,730
69661314,1759,730
69680319,1761,732
69680447,1761,732
71926822,1767,722
71933950,1767,722
71937344,1768,723
74666225,1794,731
74669757,1794,731
74671731,1794,731
75156399,1758,723
77194312,1741,728
77213823,1740,727
77303540,1736,725
77303985,1736,725
77795569,1731,729
77802321,1728,728
77807233,1731,728
77813556,1732,729
79809601,1713,721
79809812,1713,721
79809886,1713,721
82710116,1702,699
82714136,1700,697
82714305,1700,697
82714385,1700,697
85466097,1740,716
85470423,1739,715
85475750,1740,715
85487731,1740,715
85515657,1739,715
89461411,1682,688
89465459,1681,687
89478326,1682,686
89577865,1682,686
93991288,1715,685
94000681,1715,686
94006526,1714,686
94012442,1712,684
96018281,1731,690
96021741,1730,689
96029525,1730,689
98968195,1776,706
99183057,1756,696
99187893,1756,696
99192787,1756,696
99571135,1765,698
103386457,1769,709
103386495,1769,709
103393064,1769,709
103395497,1769,709
108620995,1792,721
108627351,1792,721
108637771,1792,721
108644552,1794,722
112862724,1808,746
112870721,1808,746
112875833,1808,746
112879656,1809,747
117338250,1893,792
118493643,1879,785
118493759,1879,785
118498412,1880,785
118524649,1881,786
118562913,1881,785
121009496,1903,801
121011208,1903,801
121027792,1903,800
121033600,1904,800
125627999,1971,828
125636180,1971,828
125643604,1971,828
125649052,1971,828
129613920,2000,841
129616500,2000,841
129622209,2000,841
129714744,2002,843
133777858,2057,873
134607215,2062,874
134624427,2062,875
134624945,2063,875
137446153,2081,883
137446434,2081,883
137446444,2081,883
137446709,2081,883
142006393,2026,862
142007294,2026,862
142009935,2026,862
142028094,2025,862
146625039,2035,862
146834793,2035,862
146839948,2037,864
146845361,2037,864
151435050,1950,816
151445084,1950,816
151451712,1950,816
151633234,1952,818
155777868,1916,808
155813961,1916,808
155816403,1917,808
155824760,1917,808
159979764,1938,818
159982712,1938,818
160002003,1939,819
160003381,1939,819
165784293,1936,802
165788281,1936,802
165818269,1938,802
165829199,1938,802
169974073,1931,802
170265603,1925,800
170275415,1926,801
170278324,1926,801
174563931,1941,810
174658124,1938,808
174660375,1938,808
174668094,1939,808
181359779,1938,798
181359964,1938,798
181360153,1938,798
181442196,1938,798
186527464,1929,787
186532670,1925,787
186534409,1925,787
190042097,1947,804
190042332,1947,804
190045272,1947,804
190303378,1936,796
194998161,1934,793
195004244,1934,793
195009621,1934,793
195009966,1934,793
200050412,1946,786
200050943,1946,786
200050980,1946,786
200066707,1946,786
205164533,1946,774
205171531,1947,774
205178168,1947,774
205181589,1947,774
214087468,1989,788
214087582,1989,788
214087590,1989,788
214300334,1989,789
218918759,1965,767
218919244,1965,767
218919439,1965,767
218920135,1965,767
226247533,1965,760
226251309,1965,760
226256128,1965,760
226260786,1965,760
232684167,1969,735
232684297,1969,735
232691011,1969,735
239793305,1943,726
239793520,1943,726
239794276,1943,726
242938306,1939,729
246021679,1905,723
246030338,1905,723
246044335,1904,723
246050093,1904,723
261684284,1886,722
261690420,1886,722
261719477,1887,722
261726406,1887,722
268945625,1900,735
268945810,1900,735
270894952,1893,734
271217654,1895,734
284969517,1875,693
284969888,1875,693
284970046,1875,693
284970301,1875,693
291155487,1851,678
291155910,1851,678
291156076,1851,678
291157965,1851,678
298764997,1835,667
298765256,1835,667
298765484,1835,667
309580337,1834,664
309580521,1834,664
309580713,1834,664
312368266,1839,672
321191052,1796,653
321243963,1796,653
321245106,1796,653
321280531,1795,653
338534286,1791,649
338534516,1791,649
338535372,1791,649
338536321,1791,649
