repository_name,release_id,tag_name_clean,cycle_end,cycle_start,cycle_length_days
kubernetes/kubernetes,36351013,1.17.17,2021-01-13 18:49:29+00:00,,
kubernetes/kubernetes,36351486,1.18.15,2021-01-13 18:58:44+00:00,2021-01-13 18:49:29+00:00,0.006423611111111111
kubernetes/kubernetes,36351831,1.19.7,2021-01-13 19:06:48+00:00,2021-01-13 18:58:44+00:00,0.005601851851851852
kubernetes/kubernetes,36352135,1.20.2,2021-01-13 19:14:04+00:00,2021-01-13 19:06:48+00:00,0.005046296296296296
kubernetes/kubernetes,38191304,1.18.16,2021-02-17 20:30:54+00:00,2021-01-13 19:14:04+00:00,35.05335648148148
kubernetes/kubernetes,38191357,1.19.8,2021-02-17 20:31:54+00:00,2021-02-17 20:30:54+00:00,0.0006944444444444445
kubernetes/kubernetes,38191467,1.20.3,2021-02-17 20:34:07+00:00,2021-02-17 20:31:54+00:00,0.0015393518518518519
kubernetes/kubernetes,38251599,1.20.4,2021-02-18 19:40:10+00:00,2021-02-17 20:34:07+00:00,0.9625347222222222
kubernetes/kubernetes,40026670,1.18.17,2021-03-18 19:22:57+00:00,2021-02-18 19:40:10+00:00,27.988043981481482
kubernetes/kubernetes,40026943,1.19.9,2021-03-18 19:28:36+00:00,2021-03-18 19:22:57+00:00,0.003923611111111111
kubernetes/kubernetes,40027219,1.20.5,2021-03-18 19:34:09+00:00,2021-03-18 19:28:36+00:00,0.0038541666666666668
kubernetes/kubernetes,41140171,1.21.0,2021-04-08 17:56:09+00:00,2021-03-18 19:34:09+00:00,20.931944444444444
kubernetes/kubernetes,41456484,1.20.6,2021-04-15 05:08:46+00:00,2021-04-08 17:56:09+00:00,6.467094907407407
kubernetes/kubernetes,41456496,1.19.10,2021-04-15 05:09:35+00:00,2021-04-15 05:08:46+00:00,0.0005671296296296297
kubernetes/kubernetes,41457093,1.18.18,2021-04-15 05:32:45+00:00,2021-04-15 05:09:35+00:00,0.016087962962962964
kubernetes/kubernetes,42867664,1.18.19,2021-05-12 20:21:37+00:00,2021-04-15 05:32:45+00:00,27.617268518518518
