repository_name,contributor identifier,first contribution date,number of contributions,release-cycle participation,author,is_bot,first_contribution_at,number_of_contributions,release_cycle_participation
microsoft/vscode,bpasero,,14748,,bpasero,False,,14748,
microsoft/vscode,jrieken,,12778,,jrieken,False,,12778,
microsoft/vscode,Tyriar,,12519,,Tyriar,False,,12519,
microsoft/vscode,sandy081,,9058,,sandy081,False,,9058,
microsoft/vscode,joaomoreno,,8941,,joaomoreno,False,,8941,
microsoft/vscode,alexdima,,7959,,alexdima,False,,7959,
microsoft/vscode,roblourens,,6542,,roblourens,False,,6542,
microsoft/vscode,isidorn,,6165,,isidorn,False,,6165,
microsoft/vscode,aeschli,,5226,,aeschli,False,,5226,
microsoft/vscode,rebornix,,5127,,rebornix,False,,5127,
microsoft/vscode,meganrogge,,4932,,meganrogge,False,,4932,
microsoft/vscode,connor4312,,3361,,connor4312,False,,3361,
microsoft/vscode,alexr00,,2794,,alexr00,False,,2794,
microsoft/vscode,lszomoru,,2647,,lszomoru,False,,2647,
microsoft/vscode,hediet,,2597,,hediet,False,,2597,
microsoft/vscode,benibenj,,1840,,benibenj,False,,1840,
microsoft/vscode,sbatten,,1664,,sbatten,False,,1664,
microsoft/vscode,aiday-mar,,1605,,aiday-mar,False,,1605,
microsoft/vscode,mjbvz,,1587,,mjbvz,False,,1587,
microsoft/vscode,TylerLeonhardt,,1471,,TylerLeonhardt,False,,1471,
microsoft/vscode,chrmarti,,1427,,chrmarti,False,,1427,
microsoft/vscode,lramos15,,1262,,lramos15,False,,1262,
microsoft/vscode,mrleemurray,,1262,,mrleemurray,False,,1262,
microsoft/vscode,DonJayamanne,,1227,,DonJayamanne,False,,1227,
microsoft/vscode,weinand,,1164,,weinand,False,,1164,
microsoft/vscode,dbaeumer,,1097,,dbaeumer,False,,1097,
microsoft/vscode,osortega,,1035,,osortega,False,,1035,
microsoft/vscode,rzhao271,,910,,rzhao271,False,,910,
microsoft/vscode,amunger,,909,,amunger,False,,909,
microsoft/vscode,joyceerhl,,899,,joyceerhl,False,,899,
microsoft/vscode,Copilot,,891,,Copilot,False,,891,
microsoft/vscode,deepak1556,,824,,deepak1556,False,,824,
microsoft/vscode,justschen,,823,,justschen,False,,823,
microsoft/vscode,ulugbekna,,774,,ulugbekna,False,,774,
microsoft/vscode,bhavyaus,,761,,bhavyaus,False,,761,
microsoft/vscode,ramya-rao-a,,758,,ramya-rao-a,False,,758,
microsoft/vscode,legomushroom,,658,,legomushroom,False,,658,
microsoft/vscode,octref,,657,,octref,False,,657,
microsoft/vscode,dmitrivMS,,636,,dmitrivMS,False,,636,
microsoft/vscode,joshspicer,,584,,joshspicer,False,,584,
