release_id,open_issues_at_release,open_bugs_at_release
37367812,4287,1027
37817301,4376,1056
37943605,4416,1048
39294083,4569,1103
39312361,4577,1102
39688865,4664,1116
39843725,4725,1132
40776715,4812,1162
41141564,4908,1175
41368481,5019,1226
42503695,5138,1272
42788476,5184,1265
42914761,5203,1269
44431897,5390,1320
44831232,5511,1352
45923262,5615,1390
46137151,5652,1411
46269305,5685,1402
47380908,5823,1433
48147681,5933,1442
48909216,5987,1455
49545491,6113,1501
50724198,6170,1544
50995570,5951,1547
51383547,5553,1476
51646803,5319,1420
52713427,5039,1306
53026736,5034,1309
53207412,5043,1309
53665953,5093,1332
54908167,5173,1342
55299055,5216,1373
55479840,5164,1363
58631352,5326,1456
59039716,5368,1472
59258028,5391,1468
60929829,5563,1520
61302351,5610,1527
61529769,5597,1524
63185929,5727,1547
63892925,5859,1580
64270464,5933,1598
66150183,6068,1621
66499794,6117,1631
67208072,6212,1655
69088479,6456,1742
69548231,6508,1749
71502038,6719,1805
71824091,6790,1833
72267785,6875,1852
73681305,7009,1894
74130772,7151,1928
74651367,7154,1943
76071146,7230,2007
77034280,7307,2062
77323275,7305,2066
79195907,7449,2110
79559974,7510,2124
81875229,7625,2188
82594810,7684,2218
85353072,6738,2198
86140126,5768,1815
79815982,5768,1815
86689083,5547,1765
88483006,5496,1737
91182971,5666,1818
91935081,5793,1865
94139371,6073,1970
95113631,6291,2004
95724132,6412,2026
97531004,6435,2056
98217566,6481,2070
98954070,6494,2086
99179067,6485,2086
101788867,6544,2138
102384496,6666,2189
102722107,6649,2185
107875358,6745,2212
108419575,6826,2248
108764918,6854,2260
111301684,7063,2356
112148927,7149,2387
113907434,7337,2471
115015295,7357,2461
115963844,7429,2478
120333378,7552,2562
120835552,7604,2574
121480572,7690,2603
123355143,7838,2671
123736439,7816,2678
124696615,7897,2699
127569793,8146,2750
128197191,8223,2775
132979603,7936,2797
133791083,7609,2698
135728221,7165,2562
137595644,7107,2589
139501858,7202,2624
140525002,7301,2664
142158503,7348,2690
144055742,7506,2737
145323317,7553,2756
146100846,7643,2778
149814200,7807,2850
150797079,7898,2862
153873284,8126,2938
154983536,8209,2977
159075980,8428,3068
160346297,8513,3106
161326740,8555,3118
163868610,8662,3172
165004015,8737,3199
168291552,8920,3257
169369196,9015,3295
170407271,9129,3328
173695787,9381,3446
174811451,9461,3494
178259340,9672,3606
178954173,9726,3616
179341265,9790,3621
182523912,9990,3664
183016531,9980,3674
184258993,10066,3720
185530462,10109,3743
190282879,9504,3671
191500700,8687,3439
191730414,8526,3399
194435633,8351,3348
195234780,8398,3369
198877577,8611,3443
199679394,8703,3481
200205683,8714,3489
203925835,8965,3595
204834300,9045,3623
205645537,9111,3640
210233021,9274,3740
211083770,9347,3767
211624742,9394,3776
212878238,9477,3806
217393079,9703,3911
218344785,9779,3932
218911884,9825,3939
222843338,10041,4020
224972643,10038,4036
226503146,10201,4072
227783908,10357,4097
231562545,11091,4221
232881520,11169,4278
234641159,11375,4317
236028045,11676,4380
238393156,11925,4467
239780431,12157,4525
241618186,12251,4573
246491048,12623,4754
248155319,12892,4800
250226077,13102,4873
251802178,13176,4918
253418659,13226,4928
254828317,13501,4975
261850326,13585,5243
263105607,13770,5321
263768428,13820,5351
265439624,13907,5441
269240526,12690,5556
271252851,11543,5321
275307407,11413,5239
277418115,11776,5288
279512009,12012,5333
283135054,12468,5390
284958517,12580,5449
285081339,12619,5455
288512678,12853,5485
293129552,13310,5529
294156116,13487,5554
294646386,13560,5568
298469024,14119,5699
301163165,14145,5738
304148026,14412,5718
306501291,14428,5751
309286222,14673,5781
309915674,14647,5751
311091911,14724,5737
312162617,14770,5753
312919206,14803,5757
315116361,14989,5806
315998060,15035,5814
318254349,15329,5850
321341220,15600,5931
321722534,15598,5920
325804905,15802,5959
330727311,16067,6030
331516246,16111,6043
334826672,16288,6087
337124757,16235,6108
337125364,16235,6108
337262896,16233,6106
338369768,16286,6114
340858462,16396,6124
344104988,16515,6128
347353206,16719,6145
350789479,16856,6097
354067098,16985,6099
354739843,17017,6104
355932954,17073,6095
