repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count
apache/airflow,37768119,,False,1,0.0,0.0,,,,0.0,0.0,,,768,367,2021-02-08 22:50:02+00:00,131.0,1.0,116.75,True,,0
apache/airflow,39957389,36.77746527777778,False,2,309.0,393.0,0.8371501272264631,157.7419824383654,12.761666666666667,99.0,71.0,0.7171717171717171,0.1553398058252427,823,401,2021-03-17 17:29:35+00:00,114.0,0.0,116.75,True,131.0,1
apache/airflow,41671752,33.15434027777778,False,3,268.0,341.0,0.8005865102639296,230.80360907610907,17.071666666666665,82.0,50.0,0.6097560975609756,0.1716417910447761,802,375,2021-04-19 21:11:50+00:00,109.0,0.0,116.75,True,122.5,2
apache/airflow,43255616,30.173796296296292,False,4,255.0,292.0,0.8767123287671232,150.66385091145833,9.84236111111111,66.0,31.0,0.4696969696969697,0.1568627450980392,809,384,2021-05-20 01:22:06+00:00,132.0,1.0,116.75,True,118.0,3
apache/airflow,45275500,37.55325231481481,False,5,317.0,368.0,0.8532608695652174,148.31167551309272,13.614166666666666,92.0,53.0,0.5760869565217391,0.138801261829653,815,381,2021-06-26 14:38:47+00:00,126.0,1.0,116.75,True,121.5,4
apache/airflow,45643358,6.231643518518519,False,6,46.0,57.0,0.8070175438596491,117.78490942028984,7.108055555555556,25.0,8.0,0.32,0.1739130434782608,820,379,2021-07-02 20:12:21+00:00,131.0,1.0,116.75,True,121.5,4
apache/airflow,46212130,12.001747685185183,False,7,73.0,120.0,0.7333333333333333,222.97809343434346,10.66875,35.0,16.0,0.4571428571428571,0.1917808219178082,840,381,2021-07-14 20:14:52+00:00,143.0,1.0,116.75,True,121.5,4
apache/airflow,46932862,14.015497685185183,False,8,138.0,168.0,0.8095238095238095,157.4090625,7.0761111111111115,48.0,26.0,0.5416666666666666,0.2028985507246377,845,380,2021-07-28 20:37:11+00:00,120.0,1.0,116.75,True,122.4,5
apache/airflow,49398510,45.05329861111111,False,9,426.0,480.0,0.875,115.21577976190477,9.54722222222222,132.0,81.0,0.6136363636363636,0.1995305164319248,874,409,2021-09-11 21:53:56+00:00,126.0,1.0,116.75,True,125.75,8
apache/airflow,49802204,7.004363425925926,False,10,84.0,92.0,0.8586956521739131,112.83884317862163,9.051388888888889,34.0,13.0,0.3823529411764705,0.1785714285714285,851,389,2021-09-18 22:00:13+00:00,129.0,1.0,116.75,True,125.75,8
apache/airflow,50419478,9.862951388888888,False,11,109.0,130.0,0.8538461538461538,107.45938188188188,10.600555555555555,40.0,16.0,0.4,0.2477064220183486,818,372,2021-09-28 18:42:52+00:00,135.0,1.0,116.75,True,125.75,8
apache/airflow,51158476,12.961967592592591,False,12,156.0,196.0,0.8673469387755102,167.77784150326798,12.7625,52.0,18.0,0.3461538461538461,0.1666666666666666,789,350,2021-10-11 17:48:06+00:00,130.0,1.0,116.75,True,125.75,8
apache/airflow,52360236,18.488819444444445,False,13,179.0,237.0,0.7932489451476793,245.19745271867612,24.96388888888889,85.0,41.0,0.4823529411764706,0.1229050279329608,813,365,2021-10-30 05:32:00+00:00,101.0,0.0,116.75,True,126.9090909090909,11
apache/airflow,53009948,10.387905092592591,False,14,78.0,90.0,0.8222222222222222,125.79873123123124,30.650972222222222,44.0,17.0,0.3863636363636363,0.1025641025641025,807,358,2021-11-09 14:50:35+00:00,118.0,1.0,116.75,True,126.9090909090909,11
apache/airflow,53412307,6.157407407407407,False,15,42.0,59.0,0.7966101694915254,248.5653132387707,13.788333333333334,25.0,7.0,0.28,0.119047619047619,808,360,2021-11-15 18:37:15+00:00,110.0,0.0,116.75,True,127.16666666666667,12
apache/airflow,55767051,35.95048611111111,False,16,420.0,497.0,0.8752515090543259,203.08708045977014,19.6625,98.0,48.0,0.4897959183673469,0.1452380952380952,819,355,2021-12-21 17:25:57+00:00,86.0,0.0,116.75,True,123.66666666666667,15
apache/airflow,56763257,20.04216435185185,False,17,205.0,224.0,0.8348214285714286,148.6217394533571,15.410277777777777,75.0,36.0,0.48,0.2292682926829268,785,338,2022-01-10 18:26:40+00:00,118.0,1.0,116.75,True,123.66666666666667,15
apache/airflow,60167989,43.08984953703704,False,18,400.0,509.0,0.825147347740668,135.77253373015876,23.917916666666667,112.0,53.0,0.4732142857142857,0.195,773,332,2022-02-22 20:36:03+00:00,117.0,1.0,116.75,True,121.11764705882354,17
apache/airflow,61637122,16.983506944444443,False,19,249.0,257.0,0.8754863813229572,118.83477160493827,12.59388888888889,87.0,35.0,0.4022988505747126,0.1686746987951807,764,321,2022-03-11 20:12:18+00:00,93.0,0.0,116.75,True,121.11764705882354,17
apache/airflow,63503389,23.55440972222222,False,20,230.0,278.0,0.8237410071942446,198.1059109655507,34.95777777777778,78.0,31.0,0.3974358974358974,0.2652173913043478,796,311,2022-04-04 09:30:39+00:00,108.0,0.0,116.75,True,120.88888888888889,18
apache/airflow,65746369,26.62961805555556,False,21,369.0,430.0,0.858139534883721,125.67173140620294,11.204722222222221,72.0,33.0,0.4583333333333333,0.1626016260162601,789,314,2022-05-01 00:37:18+00:00,122.0,1.0,116.75,True,119.42105263157895,19
apache/airflow,67434562,19.897106481481483,False,22,200.0,238.0,0.8571428571428571,218.45453703703706,24.628055555555555,65.0,23.0,0.3538461538461538,0.225,811,330,2022-05-20 22:09:08+00:00,102.0,0.0,116.75,True,118.85,20
apache/airflow,67783335,4.5119444444444445,False,23,40.0,41.0,0.926829268292683,289.4044444444445,27.106944444444444,23.0,5.0,0.217391304347826,0.275,811,328,2022-05-25 10:26:20+00:00,105.0,0.0,116.75,True,118.85,20
apache/airflow,68636824,10.161851851851852,False,24,132.0,163.0,0.8711656441717791,255.46582942097027,10.945833333333333,41.0,12.0,0.2926829268292683,0.2196969696969697,761,307,2022-06-04 14:19:24+00:00,105.0,0.0,116.75,True,119.0,21
apache/airflow,71627647,35.17363425925926,False,25,378.0,427.0,0.8501170960187353,103.3245041322314,20.794444444444444,101.0,42.0,0.4158415841584158,0.2169312169312169,693,287,2022-07-09 18:29:26+00:00,116.0,0.0,116.75,True,117.125,24
apache/airflow,75104415,44.84143518518518,False,26,445.0,535.0,0.8504672897196262,127.94470573870574,20.636944444444445,130.0,63.0,0.4846153846153846,0.1932584269662921,710,305,2022-08-23 14:41:06+00:00,104.0,0.0,116.75,True,117.08,25
apache/airflow,77524030,26.77133101851852,False,27,263.0,335.0,0.764179104477612,104.03358615451388,18.485277777777775,69.0,23.0,0.3333333333333333,0.2205323193916349,697,294,2022-09-19 09:11:49+00:00,100.0,0.0,116.75,True,117.08,25
apache/airflow,78733774,11.480682870370371,False,28,148.0,180.0,0.8611111111111112,135.36240681003585,14.428611111111111,54.0,16.0,0.2962962962962963,0.1351351351351351,703,295,2022-09-30 20:44:00+00:00,86.0,0.0,116.75,True,116.57692307692308,26
apache/airflow,79935067,13.78616898148148,False,29,93.0,122.0,0.9262295081967213,258.21287118977386,137.13972222222222,42.0,12.0,0.2857142857142857,0.075268817204301,705,295,2022-10-14 15:36:05+00:00,98.0,0.0,116.75,True,116.57692307692308,26
apache/airflow,80782477,9.8296875,False,30,61.0,86.0,0.8604651162790697,244.62597597597596,81.87569444444443,27.0,4.0,0.1481481481481481,0.2786885245901639,713,306,2022-10-24 11:30:50+00:00,99.0,0.0,116.75,True,115.96296296296296,27
apache/airflow,82994496,21.12894675925926,False,31,247.0,258.0,0.8217054263565892,119.54084250524109,12.386388888888888,90.0,37.0,0.4111111111111111,0.2591093117408907,712,304,2022-11-14 14:36:31+00:00,104.0,0.0,116.75,True,114.3103448275862,29
apache/airflow,84841010,18.116435185185185,False,32,163.0,226.0,0.8495575221238938,171.1900347222222,26.249027777777776,58.0,22.0,0.3793103448275862,0.1779141104294478,724,310,2022-12-02 17:24:11+00:00,84.0,0.0,116.75,True,113.8,30
apache/airflow,89772516,49.13540509259259,False,33,485.0,592.0,0.8260135135135135,205.6337707339241,20.0275,123.0,58.0,0.4715447154471545,0.2123711340206185,716,290,2023-01-20 20:39:10+00:00,100.0,0.0,116.75,True,112.5625,32
apache/airflow,91499799,16.886354166666667,False,34,145.0,162.0,0.8641975308641975,250.73329365079366,25.730555555555554,62.0,11.0,0.1774193548387097,0.1034482758620689,733,288,2023-02-06 17:55:31+00:00,103.0,0.0,116.75,True,112.5625,32
apache/airflow,95635225,36.281030092592594,False,35,338.0,394.0,0.850253807106599,176.20124543946932,24.99861111111111,122.0,50.0,0.4098360655737705,0.1331360946745562,719,283,2023-03-15 00:40:12+00:00,72.0,0.0,116.75,True,111.91176470588235,34
apache/airflow,97724092,17.37065972222222,False,36,128.0,166.0,0.8614457831325302,283.4481274281274,57.86416666666667,52.0,15.0,0.2884615384615384,0.171875,720,270,2023-04-01 09:33:57+00:00,72.0,0.0,116.75,True,111.91176470588235,34
apache/airflow,99597447,13.478078703703703,False,37,133.0,138.0,0.8260869565217391,184.88946150097468,11.506527777777777,60.0,22.0,0.3666666666666666,0.2481203007518796,702,261,2023-04-14 21:02:23+00:00,86.0,0.0,116.75,True,110.77142857142857,35
apache/airflow,101405180,15.66929398148148,False,38,168.0,217.0,0.8433179723502304,195.95390255009104,11.310555555555556,52.0,17.0,0.3269230769230769,0.3035714285714285,669,244,2023-04-30 13:06:10+00:00,110.0,0.0,116.75,True,110.77142857142857,35
apache/airflow,103174412,16.064131944444444,False,39,161.0,215.0,0.8232558139534883,176.3647771500314,21.156944444444445,64.0,23.0,0.359375,0.2236024844720497,680,255,2023-05-16 14:38:31+00:00,100.0,0.0,116.75,True,109.05405405405405,37
apache/airflow,108963862,31.819837962962964,False,40,336.0,403.0,0.858560794044665,171.40491490044957,20.821805555555557,84.0,29.0,0.3452380952380952,0.1934523809523809,694,267,2023-06-17 10:19:05+00:00,102.0,0.0,116.75,True,108.84615384615384,39
apache/airflow,110074462,10.17730324074074,False,41,101.0,116.0,0.8017241379310345,96.75045400238947,22.592222222222222,40.0,10.0,0.25,0.1386138613861386,697,274,2023-06-27 14:34:24+00:00,104.0,0.0,116.75,True,108.84615384615384,39
apache/airflow,111717340,13.35292824074074,False,42,196.0,192.0,0.8958333333333334,103.43395025839794,11.786249999999999,60.0,17.0,0.2833333333333333,0.1785714285714285,705,255,2023-07-10 23:02:37+00:00,113.0,0.0,116.75,True,108.84615384615384,39
apache/airflow,117791975,38.73447916666667,False,43,553.0,635.0,0.8913385826771654,153.66389036120927,15.955000000000002,109.0,41.0,0.3761467889908257,0.1971066907775768,716,253,2023-08-18 16:40:16+00:00,129.0,1.0,116.75,True,108.66666666666667,42
apache/airflow,120326303,20.061203703703704,False,44,423.0,455.0,0.9032967032967033,101.77081440929982,10.808333333333334,71.0,24.0,0.3380281690140845,0.1867612293144208,697,248,2023-09-07 18:08:24+00:00,95.0,0.0,116.75,True,108.66666666666667,42
apache/airflow,123409179,25.22329861111111,False,45,257.0,327.0,0.8409785932721713,180.82699494949497,23.924722222222222,87.0,33.0,0.3793103448275862,0.1206225680933852,722,261,2023-10-02 23:29:57+00:00,91.0,0.0,116.75,True,109.13953488372093,43
apache/airflow,124796751,9.47818287037037,False,46,72.0,87.0,0.8045977011494253,260.80484126984123,39.40069444444444,41.0,17.0,0.4146341463414634,0.1666666666666666,741,273,2023-10-12 10:58:32+00:00,93.0,0.0,116.75,True,108.81818181818181,44
apache/airflow,128072365,24.844270833333333,False,47,303.0,361.0,0.8781163434903048,145.87233438485805,10.113333333333333,89.0,35.0,0.3932584269662921,0.2574257425742574,765,276,2023-11-06 07:14:17+00:00,75.0,0.0,116.75,True,108.42222222222222,45
apache/airflow,134371717,42.50138888888889,False,48,478.0,538.0,0.8382899628252788,81.71900652870166,6.5377777777777775,111.0,46.0,0.4144144144144144,0.2803347280334728,759,275,2023-12-18 19:16:17+00:00,61.0,0.0,116.75,True,107.38297872340425,47
