model,max_depth,min_samples_leaf,n_estimators,learning_rate,validation_roc_auc,validation_precision,validation_recall,validation_f1,validation_accuracy
decision_tree,2.0,5.0,,,0.48571428571428577,0.125,0.047619047619047616,0.06896551724137931,0.7567567567567568
decision_tree,2.0,10.0,,,0.48571428571428577,0.125,0.047619047619047616,0.06896551724137931,0.7567567567567568
decision_tree,2.0,20.0,,,0.48571428571428577,0.125,0.047619047619047616,0.06896551724137931,0.7567567567567568
decision_tree,3.0,5.0,,,0.6833333333333335,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,3.0,10.0,,,0.6833333333333335,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,3.0,20.0,,,0.6833333333333335,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,4.0,5.0,,,0.6976190476190477,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,4.0,10.0,,,0.48677248677248686,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,4.0,20.0,,,0.6976190476190477,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,5.0,5.0,,,0.6973544973544975,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,5.0,10.0,,,0.48677248677248686,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,5.0,20.0,,,0.6976190476190477,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,7.0,5.0,,,0.7060846560846562,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,7.0,10.0,,,0.7044973544973545,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,7.0,20.0,,,0.7034391534391534,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
decision_tree,,5.0,,,0.7060846560846562,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,,10.0,,,0.7044973544973545,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.8648648648648649
decision_tree,,20.0,,,0.7034391534391534,0.2,0.047619047619047616,0.07692307692307693,0.7837837837837838
random_forest,3.0,,100.0,,0.6730158730158731,0.0,0.0,0.0,0.8108108108108109
random_forest,5.0,,100.0,,0.7232804232804233,0.0,0.0,0.0,0.8108108108108109
random_forest,7.0,,100.0,,0.7481481481481481,0.0,0.0,0.0,0.8108108108108109
random_forest,,,100.0,,0.7788359788359788,0.0,0.0,0.0,0.8108108108108109
random_forest,3.0,,300.0,,0.6703703703703704,0.0,0.0,0.0,0.8108108108108109
random_forest,5.0,,300.0,,0.7380952380952381,0.0,0.0,0.0,0.8108108108108109
random_forest,7.0,,300.0,,0.7312169312169312,0.0,0.0,0.0,0.8108108108108109
random_forest,,,300.0,,0.7547619047619047,0.0,0.0,0.0,0.8108108108108109
gradient_boosting,2.0,,100.0,0.05,0.7031746031746032,0.5,0.09523809523809523,0.16,0.8108108108108109
gradient_boosting,2.0,,100.0,0.1,0.6597883597883597,0.5,0.09523809523809523,0.16,0.8108108108108109
gradient_boosting,3.0,,100.0,0.05,0.6425925925925926,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.8288288288288288
gradient_boosting,3.0,,100.0,0.1,0.665079365079365,0.6,0.14285714285714285,0.23076923076923078,0.8198198198198198
gradient_boosting,2.0,,200.0,0.05,0.6079365079365079,0.5,0.09523809523809523,0.16,0.8108108108108109
gradient_boosting,2.0,,200.0,0.1,0.6116402116402117,0.5,0.09523809523809523,0.16,0.8108108108108109
gradient_boosting,3.0,,200.0,0.05,0.6238095238095237,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.8288288288288288
gradient_boosting,3.0,,200.0,0.1,0.6232804232804232,0.6,0.14285714285714285,0.23076923076923078,0.8198198198198198
