model,max_depth,n_estimators,learning_rate,validation_roc_auc,validation_precision,validation_recall,validation_f1,validation_accuracy
xgboost,2,100,0.05,0.7021164021164021,0.5,0.09523809523809523,0.16,0.8108108108108109
xgboost,2,100,0.1,0.6888888888888889,0.0,0.0,0.0,0.7927927927927928
xgboost,2,200,0.05,0.6830687830687832,0.0,0.0,0.0,0.7927927927927928
xgboost,2,200,0.1,0.6169312169312169,0.0,0.0,0.0,0.8018018018018018
xgboost,3,100,0.05,0.6156084656084656,0.5,0.09523809523809523,0.16,0.8108108108108109
xgboost,3,100,0.1,0.5968253968253967,0.0,0.0,0.0,0.7927927927927928
xgboost,3,200,0.05,0.5880952380952382,0.0,0.0,0.0,0.7927927927927928
xgboost,3,200,0.1,0.4962962962962963,0.0,0.0,0.0,0.8018018018018018
xgboost,4,100,0.05,0.7976190476190477,1.0,0.14285714285714285,0.25,0.8378378378378378
xgboost,4,100,0.1,0.635978835978836,1.0,0.09523809523809523,0.17391304347826086,0.8288288288288288
xgboost,4,200,0.05,0.6671957671957671,1.0,0.14285714285714285,0.25,0.8378378378378378
xgboost,4,200,0.1,0.5931216931216932,1.0,0.09523809523809523,0.17391304347826086,0.8288288288288288
