repository_name,contributor identifier,first contribution date,number of contributions,release-cycle participation
apache/airflow,potiuk,,4973,
apache/airflow,kaxil,,2070,
apache/airflow,mistercrunch,,1702,
apache/airflow,ashb,,948,
apache/airflow,amoghrajesh,,921,
apache/airflow,mik-laj,,821,
apache/airflow,jedcunningham,,802,
apache/airflow,jscheffl,,750,
apache/airflow,eladkal,,686,
apache/airflow,dstandish,,674,
apache/airflow,ephraimbuddy,,673,
apache/airflow,uranusjr,,673,
apache/airflow,bbovenzi,,606,
apache/airflow,pierrejeambrun,,587,
apache/airflow,vincbeck,,582,
apache/airflow,bolkedebruin,,538,
apache/airflow,Taragolis,,535,
apache/airflow,Lee-W,,527,
apache/airflow,dependabot[bot],,490,
apache/airflow,gopidesupavan,,426,
apache/airflow,hussein-awala,,365,
apache/airflow,turbaszek,,326,
apache/airflow,jlowin,,315,
apache/airflow,ferruzzi,,246,
apache/airflow,o-nikolas,,245,
apache/airflow,bugraoz93,,232,
apache/airflow,shahar1,,229,
apache/airflow,kacpermuda,,224,
apache/airflow,jason810496,,221,
apache/airflow,r39132,,216,
apache/airflow,josh-fell,,193,
apache/airflow,XD-DENG,,187,
apache/airflow,guan404ming,,186,
apache/airflow,vatsrahul1001,,180,
apache/airflow,tirkarthi,,167,
apache/airflow,criccomini,,160,
apache/airflow,rawwar,,158,
apache/airflow,choo121600,,142,
apache/airflow,dabla,,141,
apache/airflow,artwr,,136,
apache/airflow,sunank200,,134,
apache/airflow,dirrao,,129,
apache/airflow,Fokko,,126,
apache/airflow,eumiro,,121,
apache/airflow,dheerajturaga,,119,
apache/airflow,henry3260,,118,
apache/airflow,VladaZakharova,,117,
apache/airflow,dimberman,,115,
apache/airflow,MaksYermak,,107,
apache/airflow,pankajastro,,99,
apache/airflow,utkarsharma2,,97,
apache/airflow,BasPH,,97,
apache/airflow,Dev-iL,,97,
apache/airflow,vandonr-amz,,95,
apache/airflow,Miretpl,,95,
apache/airflow,feluelle,,95,
apache/airflow,jbampton,,94,
apache/airflow,shubhamraj-git,,94,
apache/airflow,romsharon98,,92,
apache/airflow,sekikn,,92,
apache/airflow,ryanahamilton,,91,
apache/airflow,raphaelauv,,91,
apache/airflow,mobuchowski,,89,
apache/airflow,moiseenkov,,89,
apache/airflow,msumit,,86,
apache/airflow,jhtimmins,,85,
apache/airflow,feng-tao,,81,
apache/airflow,pankajkoti,,78,
apache/airflow,phanikumv,,75,
apache/airflow,jmcarp,,73,
apache/airflow,Bowrna,,73,
apache/airflow,SameerMesiah97,,70,
apache/airflow,aoen,,67,
apache/airflow,syedahsn,,67,
apache/airflow,nailo2c,,64,
apache/airflow,aritra24,,63,
apache/airflow,subkanthi,,62,
apache/airflow,zhongjiajie,,59,
apache/airflow,RoyLee1224,,59,
apache/airflow,Aakcht,,58,
apache/airflow,chenglongyan,,55,
apache/airflow,SamWheating,,54,
apache/airflow,jroachgolf84,,53,
apache/airflow,pingzh,,53,
apache/airflow,AutomationDev85,,52,
apache/airflow,rich7420,,52,
apache/airflow,wjddn279,,52,
apache/airflow,bdsoha,,50,
apache/airflow,yuseok89,,50,
apache/airflow,olegkachur-e,,49,
apache/airflow,ramitkataria,,48,
apache/airflow,michalslowikowski00,,48,
apache/airflow,xchwan,,47,
apache/airflow,john-jac,,46,
apache/airflow,saguziel,,46,
apache/airflow,kazanzhy,,46,
apache/airflow,chethanuk,,45,
apache/airflow,milton0825,,44,
apache/airflow,Crowiant,,44,
apache/airflow,malthe,,43,
apache/airflow,RNHTTR,,43,
apache/airflow,bkossakowska,,42,
apache/airflow,khalidmammadov,,42,
apache/airflow,justinpakzad,,42,
apache/airflow,Prab-27,,41,
apache/airflow,sjyangkevin,,41,
apache/airflow,KoviAnusha,,40,
apache/airflow,kevinhongzl,,39,
apache/airflow,JDarDagran,,38,
apache/airflow,Owen-CH-Leung,,38,
apache/airflow,ryw,,37,
apache/airflow,vikramkoka,,35,
apache/airflow,vchiapaikeo,,34,
apache/airflow,haseebmalik18,,34,
apache/airflow,skudriashev,,33,
apache/airflow,Adaverse,,33,
apache/airflow,parkhojeong,,32,
apache/airflow,yuqian90,,31,
apache/airflow,kyungjunleeme,,30,
apache/airflow,ryanyuan,,30,
apache/airflow,steveahnahn,,30,
apache/airflow,anishgirianish,,29,
apache/airflow,alexott,,29,
apache/airflow,dondaum,,29,
apache/airflow,xinbinhuang,,29,
apache/airflow,Subham-KRLX,,29,
apache/airflow,github-actions[bot],,28,
apache/airflow,PApostol,,28,
apache/airflow,dominikhei,,28,
apache/airflow,KevinYang21,,27,
apache/airflow,seanghaeli,,27,
apache/airflow,bhavaniravi,,26,
apache/airflow,nathadfield,,25,
apache/airflow,neovintage,,25,
apache/airflow,mhenc,,25,
apache/airflow,tooptoop4,,25,
apache/airflow,jx2lee,,25,
apache/airflow,ellisms,,24,
apache/airflow,insomnes,,24,
apache/airflow,abridgett,,23,
apache/airflow,andreahlert,,23,
apache/airflow,bhirsz,,23,
apache/airflow,xBis7,,23,
apache/airflow,cmarteepants,,23,
apache/airflow,norm,,23,
apache/airflow,Jasperora,,23,
apache/airflow,ecodina,,22,
apache/airflow,FrankYang0529,,22,
apache/airflow,josix,,22,
apache/airflow,0lai0,,22,
apache/airflow,baolsen,,22,
apache/airflow,pateash,,22,
apache/airflow,boraberke,,21,
apache/airflow,NielsZeilemaker,,21,
apache/airflow,shivaam,,21,
apache/airflow,snjypl,,20,
apache/airflow,shohamy7,,20,
apache/airflow,ecerulm,,20,
apache/airflow,pgagnon,,20,
apache/airflow,molcay,,20,
apache/airflow,junnplus,,20,
apache/airflow,Jorricks,,20,
apache/airflow,JavierLopezT,,20,
apache/airflow,alexvanboxel,,20,
apache/airflow,fritz-astronomer,,19,
apache/airflow,Vamsi-klu,,19,
apache/airflow,YoannAbriel,,19,
apache/airflow,TJaniF,,19,
apache/airflow,kunaljubce,,19,
apache/airflow,coopergillan,,19,
apache/airflow,collinmcnulty,,19,
apache/airflow,Acehaidrey,,19,
apache/airflow,ldct,,18,
apache/airflow,omkar-foss,,18,
apache/airflow,ffinfo,,18,
apache/airflow,robinedwards,,18,
apache/airflow,Srabasti,,18,
apache/airflow,sv3ndk,,18,
apache/airflow,mtustin-handy,,18,
apache/airflow,blag,,17,
apache/airflow,seelmann,,17,
apache/airflow,Nataneljpwd,,17,
apache/airflow,hankehly,,17,
apache/airflow,e-galan,,17,
apache/airflow,wolfdn,,17,
apache/airflow,astahlman,,17,
apache/airflow,edithturn,,16,
apache/airflow,gtoonstra,,16,
apache/airflow,OmairK,,16,
apache/airflow,zachliu,,16,
apache/airflow,mingdaoy,,16,
apache/airflow,ColtenOuO,,16,
apache/airflow,tedmiston,,15,
apache/airflow,mlgruby,,15,
apache/airflow,mtagle,,15,
apache/airflow,michaelmicheal,,15,
apache/airflow,dolfinus,,15,
apache/airflow,karenbraganz,,15,
apache/airflow,gmsantos,,15,
apache/airflow,edgarRd,,15,
apache/airflow,Eason09053360,,15,
apache/airflow,dhuang,,15,
apache/airflow,yangyulely,,14,
apache/airflow,stephen-bracken,,14,
apache/airflow,perry2of5,,14,
apache/airflow,humit0,,14,
apache/airflow,DjVinnii,,14,
apache/airflow,mariotaddeucci,,14,
apache/airflow,ms32035,,14,
apache/airflow,rootcss,,14,
apache/airflow,danielvdende,,13,
apache/airflow,joffreybienvenu-infrabel,,13,
apache/airflow,simi,,13,
apache/airflow,tanelk,,13,
apache/airflow,verdan,,13,
apache/airflow,phi-friday,,13,
apache/airflow,thibault-ketterer,,13,
apache/airflow,AetherUnbound,,13,
apache/airflow,anmolxlight,,12,
apache/airflow,22quinn,,12,
apache/airflow,KamranImaaz,,12,
apache/airflow,pawelgrochowicz,,12,
apache/airflow,r-richmond,,12,
apache/airflow,mrkm4ntr,,12,
apache/airflow,m1racoli,,12,
apache/airflow,Khrol,,12,
apache/airflow,jsjasonseba,,12,
apache/airflow,aeroyorch,,12,
apache/airflow,mustafagok,,12,
apache/airflow,OscarLigthart,,12,
apache/airflow,rahul-madaan,,12,
apache/airflow,1fanwang,,12,
apache/airflow,vijayasarathib,,12,
apache/airflow,xnuinside,,11,
apache/airflow,francescomucio,,11,
apache/airflow,vemikhaylov,,11,
apache/airflow,topherinternational,,11,
apache/airflow,sarth-akvaish,,11,
apache/airflow,Pranaykarvi,,11,
apache/airflow,askeys,,11,
apache/airflow,alexkruc,,11,
apache/airflow,andriisoldatenko,,11,
apache/airflow,underyx,,11,
apache/airflow,CYarros10,,11,
apache/airflow,dejii,,11,
apache/airflow,dnskr,,11,
apache/airflow,HsiuChuanHsu,,11,
apache/airflow,jomar83,,11,
apache/airflow,ckljohn,,11,
apache/airflow,leahecole,,11,
apache/airflow,Leondon9,,10,
apache/airflow,imrichardwu,,10,
apache/airflow,okirialbert,,10,
apache/airflow,kalluripradeep,,10,
apache/airflow,simonprydden,,10,
apache/airflow,karunpoudel,,10,
apache/airflow,deedmitrij,,10,
apache/airflow,shashbha14,,10,
apache/airflow,Pyasma,,10,
apache/airflow,pavansharma36,,10,
apache/airflow,OmerJog,,10,
apache/airflow,LipuFei,,10,
apache/airflow,jlaneve,,10,
apache/airflow,hterik,,10,
apache/airflow,IAL32,,10,
apache/airflow,avkirilishin,,10,
apache/airflow,BobDu,,10,
apache/airflow,Bisk1,,10,
apache/airflow,dwreeves,,10,
apache/airflow,fredthomsen,,10,
apache/airflow,sunkickr,,10,
apache/airflow,wolfier,,9,
apache/airflow,bangjiehan,,9,
apache/airflow,kandharvishnu,,9,
apache/airflow,rjgoyln,,9,
apache/airflow,yoziru,,9,
apache/airflow,Swalloow,,9,
apache/airflow,itayB,,9,
apache/airflow,Andrushika,,9,
apache/airflow,chipmyersjr,,9,
apache/airflow,fhoda,,9,
apache/airflow,gyli,,9,
apache/airflow,iharsh02,,9,
apache/airflow,howardyoo,,9,
apache/airflow,ianbuss,,9,
apache/airflow,RosterIn,,9,
apache/airflow,uplsh580,,9,
apache/airflow,zach-overflow,,9,
apache/airflow,arnoldmr01,,9,
apache/airflow,eskarimov,,8,
apache/airflow,Satoshi-Sh,,8,
apache/airflow,smarden1,,8,
apache/airflow,sprzedwojski,,8,
apache/airflow,23tae,,8,
apache/airflow,tatiana,,8,
apache/airflow,marengaz,,8,
apache/airflow,nhuantho,,8,
apache/airflow,pgvishnuram,,8,
apache/airflow,uzhastik,,8,
apache/airflow,anshuksi282-ksolves,,8,
apache/airflow,okayhooni,,8,
apache/airflow,csp33,,8,
apache/airflow,arjunanan6,,8,
apache/airflow,antonio-mello-ai,,8,
apache/airflow,kgw7401,,8,
apache/airflow,hkc-8010,,8,
apache/airflow,isaiahiruoha,,8,
apache/airflow,joppevos,,8,
apache/airflow,krishnap,,8,
apache/airflow,mjpieters,,8,
apache/airflow,Melodie97,,8,
apache/airflow,mingrammer,,8,
apache/airflow,pdebelak,,8,
apache/airflow,ricky-chaoju,,8,
apache/airflow,srchilukoori,,8,
apache/airflow,YingboWang,,7,
apache/airflow,onestn,,7,
apache/airflow,valentinDruzhinin,,7,
apache/airflow,ShubhamGondane,,7,
apache/airflow,Shrividya,,7,
apache/airflow,ese,,7,
apache/airflow,seanmuth,,7,
apache/airflow,randr97,,7,
apache/airflow,ronaldorcampos,,7,
apache/airflow,erdos2n,,7,
apache/airflow,RachitSharma2001,,7,
apache/airflow,codecae,,7,
apache/airflow,darkag,,7,
apache/airflow,fat-catTW,,7,
apache/airflow,fweilun,,7,
apache/airflow,ishiis,,7,
apache/airflow,mans2singh,,7,
apache/airflow,retornam,,7,
apache/airflow,imroc,,7,
apache/airflow,statwonk,,7,
apache/airflow,tnk-ysk,,7,
apache/airflow,wongwill86,,7,
apache/airflow,rsg17,,7,
apache/airflow,aaron-wolmutt,,7,
apache/airflow,roykoand,,7,
apache/airflow,aoelvp94,,7,
apache/airflow,Ajay9704,,7,
apache/airflow,andscoop,,7,
apache/airflow,andyxhadji,,7,
apache/airflow,aneesh-joseph,,7,
apache/airflow,anitakar,,7,
apache/airflow,alamashir,,7,
apache/airflow,drajguru,,7,
apache/airflow,EricGao888,,7,
apache/airflow,gsakkis,,7,
apache/airflow,TheF1rstPancake,,7,
apache/airflow,poorvirohidekar,,7,
apache/airflow,nickstenning,,7,
apache/airflow,nritholtz,,7,
apache/airflow,AlejandroMorgante,,7,
apache/airflow,merobi-hub,,7,
apache/airflow,stegololz,,7,
apache/airflow,marcosmarxm,,7,
apache/airflow,Lzzz666,,7,
apache/airflow,KatalKavya96,,7,
apache/airflow,olchas,,7,
apache/airflow,youngyjd,,7,
apache/airflow,JCoder01,,7,
apache/airflow,hardeybisey,,7,
apache/airflow,haoliang7,,7,
apache/airflow,michalmisiewicz,,6,
apache/airflow,Mayankaggarwal8055,,6,
apache/airflow,mnojek,,6,
apache/airflow,mfjackson,,6,
apache/airflow,marcusianlevine,,6,
apache/airflow,mahammi,,6,
apache/airflow,Lohith625,,6,
apache/airflow,Gautam-Bharadwaj,,6,
apache/airflow,kianelbo,,6,
apache/airflow,JulesTriomphe,,6,
apache/airflow,johnhoran,,6,
apache/airflow,oyarushe,,6,
apache/airflow,pcandoalmeida,,6,
apache/airflow,leeyspaul,,6,
apache/airflow,PrithviBadiga,,6,
apache/airflow,renzepost,,6,
apache/airflow,Revanth14,,6,
apache/airflow,ratb3rt,,6,
apache/airflow,sc250072,,6,
apache/airflow,steveyz-astro,,6,
apache/airflow,sungwy,,6,
apache/airflow,tswast,,6,
apache/airflow,Usiel,,6,
apache/airflow,Abdur-rahmaanJ,,6,
apache/airflow,abhishekbhakat,,6,
apache/airflow,Abhishekmishra2808,,6,
apache/airflow,akki,,6,
apache/airflow,AlexisBRENON,,6,
apache/airflow,antonimaciej,,6,
apache/airflow,arjav1528,,6,
apache/airflow,AryanK1511,,6,
apache/airflow,ahidalgob,,6,
apache/airflow,brouberol,,6,
apache/airflow,bjankie1,,6,
apache/airflow,btallman,,6,
apache/airflow,Noremac201,,6,
apache/airflow,deepujain,,6,
apache/airflow,drewsonne,,6,
apache/airflow,edwardwang888,,6,
apache/airflow,flolas,,6,
apache/airflow,MrGeorgeOwl,,6,
apache/airflow,gitstart-airflow,,6,
apache/airflow,idantepper,,6,
apache/airflow,ipeluffo,,6,
apache/airflow,IKholopov,,6,
apache/airflow,exploy,,6,
apache/airflow,joaopamaral,,6,
apache/airflow,johnarnold,,6,
